"Disease","Fiscal Year","Gender","Age Group","Population","Incidence","Prevalence","Mortality with Disease","Mortality without Disease","Hospitalization with Disease: Person Count","Hospitalization with Disease: Separation Count","Hospitalization with Disease: Days Stay","Hospitalization without Disease: Person Count","Hospitalization without Disease: Separation Count","Hospitalization without Disease: Days Stay","Physician Visit with Disease: Person Count","Physician Visit with Disease: Visit Count","Physician Visit without Disease: Person Count","Physician Visit without Disease: Visit Count","General Physician Visit with Disease: Person Count","General Physician Visit with Disease: Visit Count","General Physician Visit without Disease: Person Count","General Physician Visit without Disease: Visit Count","Specialist Visit with Disease: Person Count","Specialist Visit with Disease: Visit Count","Specialist Visit without Disease: Person Count","Specialist Visit without Disease: Visit Count"
Diabetes,1999,M,30 to 34,1053050,1800,9900,50,950,1140,1910,13500,26940,35430,206830,9220,103580,697500,3788370,8650,59130,660930,2594000,6660,44450,335840,1192900
Diabetes,1999,M,35 to 39,1254310,3290,17680,90,1430,1960,3160,24550,35750,47490,298290,16600,198020,851550,5012620,15730,115820,806020,3368610,11790,82170,432040,1642420
Diabetes,1999,M,40 to 44,1197910,5350,28160,180,1940,3300,5490,42020,38630,52180,318190,26720,332720,823330,5161740,25500,195590,778260,3397330,19110,137050,437940,1763060
Diabetes,1999,M,45 to 49,1060470,7690,42180,380,2460,5110,8680,69470,39910,54900,351100,40140,516520,737550,4982520,38440,301170,694670,3177170,28960,215260,415880,1804140
Diabetes,1999,M,50 to 54,941360,10100,61880,650,3220,8190,13670,105710,42840,60340,399960,59310,792110,668810,4950520,56940,452530,629200,3044660,44210,339430,403330,1904750
Diabetes,1999,M,55 to 59,716210,10140,68550,1140,3940,10480,17720,146240,41630,60010,396040,66320,969570,516350,4300870,63710,535660,485110,2551490,51160,433800,336620,1748520
Diabetes,1999,M,60 to 64,572650,9860,72650,1750,5060,12980,21950,188760,43040,63100,450640,70790,1134290,417640,4014500,68070,616140,392180,2308610,56610,518060,291090,1705200
Diabetes,1999,M,65 to 69,517380,10210,78720,2780,7420,16570,28840,274960,50610,76660,602850,77130,1371320,382670,4337650,74370,739520,360830,2426540,63750,631660,283650,1910340
Diabetes,1999,M,70 to 74,431760,8660,73590,3910,9970,18530,32690,329350,53820,84210,713330,72290,1434200,322400,4310910,69890,775290,304950,2380250,61240,658820,250740,1929910
Diabetes,1999,M,75 to 79,321030,6340,56340,4550,12160,17370,30950,345520,51080,81100,781340,55340,1227740,243360,3795780,53620,671060,231420,2131540,47560,556650,195910,1663800
Diabetes,1999,M,80 to 84,180630,3430,30230,3730,11230,11030,19630,238700,36110,58020,626540,29670,694400,139390,2390280,28810,407740,133220,1414140,25260,286640,112250,975790
Diabetes,1999,M,85+,131070,2040,18220,3590,16200,7480,12780,167320,32610,51320,649380,17720,419450,102460,1883250,17260,268950,98360,1230510,14380,150480,78010,652400
Diabetes,2000,F,1 to 4,634650,170,370,0,200,160,260,1640,27110,34150,115390,370,5560,570170,3886870,330,2100,511740,2620160,330,3440,302980,1264060
Diabetes,2000,F,5 to 9,908790,320,1400,0,80,370,500,1790,16990,20580,58480,1360,13420,731830,3330020,1140,5320,651260,2274990,1220,8100,345690,1052880
Diabetes,2000,F,10 to 14,924990,410,2390,0,130,500,770,3280,14820,18890,75250,2310,24760,677780,2774180,1910,8960,612780,1907570,2060,15800,302060,864800
Diabetes,2000,F,15 to 19,925370,420,3530,10,250,670,1260,7310,38370,49970,207020,3430,41890,756450,4329290,3120,20520,720230,3170990,2900,21300,347440,1156060
Diabetes,2000,F,20 to 24,923520,780,4950,20,290,920,1540,9850,74020,93680,307880,4770,67460,784870,5685610,4570,37320,759180,4101600,3750,30110,407440,1581070
Diabetes,2000,F,25 to 29,941100,1340,7650,30,310,1510,2460,14360,112340,136330,435560,7360,114060,799350,6731400,7090,63330,767860,4504000,5780,50730,470010,2224650
Diabetes,2000,F,30 to 34,1045940,2040,11700,40,420,2190,3460,20450,121430,144810,493560,11310,180040,880360,7707670,10940,102710,842430,4948560,8910,77280,541210,2756130
Diabetes,2000,F,35 to 39,1237520,3260,18890,50,760,2870,4680,29670,90920,111410,465080,18310,283640,1028520,8440730,17700,166680,983530,5458680,14210,116870,625830,2978950
Diabetes,2000,F,40 to 44,1226940,4360,26820,100,1090,3530,5810,49570,60590,77440,403780,26040,401800,1012380,8153440,25240,243840,965360,5261640,20240,157850,637210,2889400
Diabetes,2000,F,45 to 49,1101330,5760,36530,230,1580,4750,7830,62180,51890,67930,419160,35630,562180,912410,7843240,34690,340320,867680,4916930,28160,221720,612920,2923980
Diabetes,2000,F,50 to 54,981570,7650,50920,430,2270,7010,11560,90910,49530,65830,407440,49820,810500,822720,7746570,48490,476150,781600,4690150,40640,334050,601050,3054480
Diabetes,2000,F,55 to 59,746570,7440,55130,600,2570,7920,13200,116170,41830,57180,375630,54000,896890,619270,6146840,52490,521300,589090,3642510,44650,375350,465530,2502790
Diabetes,2000,F,60 to 64,608870,7260,61100,950,3140,9780,16600,153460,39470,55460,399360,59940,1028880,493970,5265410,58390,591690,471180,3090900,49730,436730,378220,2172840
Diabetes,2000,F,65 to 69,555160,7920,70380,1620,4430,13100,22230,222360,44150,63140,496220,69110,1268670,442690,5200270,67220,714720,423830,3027370,58340,553540,345410,2171500
Diabetes,2000,F,70 to 74,517570,7650,75670,2600,6470,16430,28240,313800,51230,75640,684870,74230,1440530,407640,5337940,72150,817870,391430,3105190,62810,622540,321150,2231390
Diabetes,2000,F,75 to 79,453750,6740,70340,3720,9620,18440,32230,387800,57740,86580,908370,68950,1445440,356830,5286310,67130,847990,343150,3140600,58330,597170,284450,2144890
Diabetes,2000,F,80 to 84,313300,4470,46870,3950,11940,14440,24720,319800,50520,76360,909110,45650,1000670,248400,4006950,44520,628420,239330,2530980,37660,372160,194110,1475570
Diabetes,2000,F,85+,306740,3970,38710,6280,30760,13740,22260,325010,61850,91730,1321110,37280,846630,244420,4288330,36320,591470,236180,3071210,28230,255010,172830,1216250
Diabetes,2000,M,1 to 4,664110,210,470,0,250,210,330,1790,35850,46250,151130,460,6880,602480,4463640,410,2510,542040,2917220,430,4370,345980,1543490
Diabetes,2000,M,5 to 9,953070,320,1540,0,180,340,470,1760,21980,26500,78460,1500,15020,773420,3727730,1300,6190,682700,2407870,1320,8830,401820,1317750
Diabetes,2000,M,10 to 14,970700,490,2620,0,150,520,730,3200,17780,21690,79080,2520,24920,711660,3004230,2040,8410,634920,1939850,2270,16510,348950,1062570
Diabetes,2000,M,15 to 19,976300,400,3770,10,530,580,940,4490,23190,29300,144950,3570,31430,685110,2935140,3050,13330,636530,1989610,2980,18090,303600,944260
Diabetes,2000,M,20 to 24,950140,540,4500,20,700,580,940,6360,22010,27960,183410,4090,36420,612680,2730250,3730,19730,583100,1928840,2910,16690,252710,799960
Diabetes,2000,M,25 to 29,947060,950,6210,30,710,690,1110,9090,21300,27650,177850,5640,56120,596490,2887940,5240,31840,566380,2013370,3950,24230,263260,873050
Diabetes,2000,M,30 to 34,1040950,1850,10530,50,880,1170,1920,13590,25050,32560,202930,9720,108480,686200,3674180,9160,62670,650890,2529550,6930,45780,327450,1142950
Diabetes,2000,M,35 to 39,1245060,3400,19220,90,1340,2020,3420,25360,34140,44800,268330,17970,212170,843500,4925250,17040,125250,799780,3329090,12620,86860,426690,1594270
Diabetes,2000,M,40 to 44,1225920,5400,30680,170,1790,3250,5400,40650,38370,51860,318600,29010,350200,842610,5250650,27760,211990,797630,3476230,20430,138130,446750,1772500
Diabetes,2000,M,45 to 49,1092550,7700,46440,370,2410,5270,8800,71700,39840,54670,344110,44080,554980,758820,5096030,42320,326750,716520,3270320,31410,228040,425760,1824250
Diabetes,2000,M,50 to 54,980440,10440,68690,640,3380,8720,14510,115850,43880,60940,391450,65710,865470,695860,5121280,63280,498800,657010,3162470,48270,366470,418590,1957520
Diabetes,2000,M,55 to 59,744660,10320,76250,1140,3950,11010,18260,157240,41800,59880,398510,73510,1043870,536180,4425990,70780,581380,505630,2634540,56060,462330,348010,1790050
Diabetes,2000,M,60 to 64,586890,9870,79410,1770,4940,13360,22510,199630,42270,61790,449090,77210,1208160,425730,4055810,74390,657250,401990,2341020,61280,550680,295390,1713030
Diabetes,2000,M,65 to 69,516890,9610,84390,2730,6950,16930,29220,276150,48270,72870,567040,82610,1449050,378700,4242100,79840,781490,359070,2384910,67890,667250,280190,1855840
Diabetes,2000,M,70 to 74,441420,8290,80660,4010,9580,19590,34540,354140,52580,81660,695780,79140,1548480,325230,4307560,76750,834090,309810,2391670,66970,714230,252380,1914630
Diabetes,2000,M,75 to 79,328060,5880,61490,4720,11620,17920,32040,354030,49880,78940,748640,60240,1321600,245310,3796910,58530,727060,234880,2134810,51720,594490,197490,1661070
Diabetes,2000,M,80 to 84,191190,3300,34500,4000,11410,11870,21170,269530,36450,58410,640150,33770,787790,145010,2500470,32900,457860,139340,1482130,28640,329840,117100,1017660
Diabetes,2000,M,85+,136970,2070,20550,4030,16490,8210,14060,184280,32850,51560,674840,19890,471600,104920,1938570,19380,302340,101130,1264440,15980,169190,80140,673660
Diabetes,2001,F,1 to 4,619920,170,390,0,180,180,240,890,26160,32820,108010,390,5560,554210,3677960,350,2060,496370,2451980,350,3490,295790,1223250
Diabetes,2001,F,5 to 9,892550,300,1490,0,100,320,480,1830,15970,19330,52500,1440,13590,708580,3088400,1230,5530,626220,2091960,1250,8060,333440,994240
Diabetes,2001,F,10 to 14,940210,400,2520,0,100,500,810,3630,13700,17430,71360,2430,24380,676390,2681510,1990,8580,608500,1832450,2180,15800,300210,847040
Diabetes,2001,F,15 to 19,930820,470,3720,10,260,700,1350,6570,35640,46060,191470,3600,41770,748890,4148240,3230,20460,711590,3032420,3020,21150,338330,1113830
Diabetes,2001,F,20 to 24,935770,800,5390,10,280,980,1680,8770,70820,89170,298140,5190,69850,787050,5555880,4980,40770,760110,3998270,3970,29070,402370,1554420
Diabetes,2001,F,25 to 29,939180,1440,8310,10,310,1550,2510,15260,111250,133550,430090,7970,123530,792580,6588490,7680,68810,760730,4375340,6220,54670,464090,2210280
Diabetes,2001,F,30 to 34,1039430,2290,12900,30,470,2260,3460,20880,122250,144150,489020,12460,196340,867330,7536310,12010,113240,828800,4787460,9610,83000,532330,2745280
Diabetes,2001,F,35 to 39,1213210,3560,20750,70,770,2980,4820,30650,86890,105320,437220,20010,306510,996710,8053580,19330,180810,952190,5173300,15530,125600,605750,2876980
Diabetes,2001,F,40 to 44,1248310,4800,29790,110,1150,3730,5910,43200,58010,73930,404620,28850,430150,1020950,8085520,27960,264250,972910,5202260,22190,165740,641480,2880350
Diabetes,2001,F,45 to 49,1132250,6200,40250,220,1640,4970,8090,64240,49260,64150,392000,39200,604720,930930,7823450,38120,367280,884920,4898440,30960,237210,623900,2922430
Diabetes,2001,F,50 to 54,996060,7770,54500,410,2190,6820,11010,95660,46160,61260,387190,53340,842010,828790,7605110,51840,496300,787050,4593820,43320,345320,602820,3009080
Diabetes,2001,F,55 to 59,801060,8100,62820,700,2650,8430,13930,123230,41570,56760,397490,61510,988280,659930,6423890,59790,575070,627370,3792600,50660,412960,495520,2629570
Diabetes,2001,F,60 to 64,628860,7600,66240,990,3110,10070,17030,161760,38850,53910,389030,64870,1088520,507320,5308620,63120,622420,483950,3106620,53990,465660,388840,2200310
Diabetes,2001,F,65 to 69,555160,7860,74510,1690,4270,13210,22460,227570,41760,59750,486120,73120,1317900,438860,5099380,71140,742310,420320,2954850,61660,575120,343810,2143030
Diabetes,2001,F,70 to 74,521500,7620,80750,2720,6560,16700,28480,309900,49210,72370,654080,79080,1509280,406010,5268240,76870,853660,390160,3063850,66780,655430,321330,2202630
Diabetes,2001,F,75 to 79,456590,6690,75300,3940,9320,18930,32600,397380,55040,82510,858690,73630,1523340,354490,5211310,71710,888890,341270,3097700,62400,634170,283960,2112500
Diabetes,2001,F,80 to 84,329770,4480,52700,4270,12270,15550,26140,351900,50960,77130,945500,51220,1102230,258160,4154900,49940,695200,249250,2635570,42300,406900,202690,1518800
Diabetes,2001,F,85+,317960,4020,42930,6820,31030,14630,23750,330660,61980,92570,1286000,41110,931260,250070,4405700,40090,654800,242010,3161340,31210,276320,177390,1243460
Diabetes,2001,M,1 to 4,648920,180,460,0,240,180,290,1380,34580,44180,141590,450,6550,586940,4246830,400,2400,526930,2744100,410,4130,338760,1499500
Diabetes,2001,M,5 to 9,936490,310,1660,0,120,350,500,1970,20560,24960,73450,1600,14940,751470,3478890,1400,5970,658850,2225800,1370,8970,389750,1251050
Diabetes,2001,M,10 to 14,986220,440,2740,0,180,510,700,3010,17380,21360,78690,2630,24630,712360,2940010,2150,8760,632640,1884660,2360,15860,349990,1053570
Diabetes,2001,M,15 to 19,982210,420,4010,10,560,630,1010,5670,21940,27640,141530,3780,34740,674580,2820520,3220,14390,623960,1891830,3150,20340,301520,927320
Diabetes,2001,M,20 to 24,963500,530,4810,20,760,580,940,5900,21040,26710,177880,4330,35310,606230,2650360,3910,19440,575980,1858250,3090,15860,251690,790570
Diabetes,2001,M,25 to 29,945370,1010,6550,20,740,710,1100,7500,19710,25620,172740,5910,56600,584900,2801450,5480,32140,554840,1940820,4160,24420,258660,859230
Diabetes,2001,M,30 to 34,1034190,2080,11390,60,850,1160,1820,15660,23190,30180,193230,10490,112710,669740,3521250,9870,66310,634360,2419770,7300,46370,319920,1099720
Diabetes,2001,M,35 to 39,1221470,3670,20830,90,1300,1920,3190,25980,30780,40710,268130,19370,219650,812640,4675070,18350,131970,769260,3150170,13590,87600,412900,1522950
Diabetes,2001,M,40 to 44,1249680,5960,33670,170,1830,3390,5690,45220,36220,48760,314250,31600,380260,847730,5207300,30250,229330,802020,3438460,22260,150780,449940,1766950
Diabetes,2001,M,45 to 49,1124820,8400,50840,380,2500,5330,8830,69400,38250,52360,337600,48130,589570,772090,5106080,46150,350040,728620,3280700,34110,239120,432590,1823910
Diabetes,2001,M,50 to 54,993100,10840,73500,780,3210,8650,14120,115800,41500,58080,377370,70210,899390,696760,5031770,67660,522380,657330,3110870,51230,376810,417410,1919260
Diabetes,2001,M,55 to 59,799020,11090,86280,1310,4080,11730,19390,159310,42270,60020,395990,83090,1145230,569150,4592460,79980,640900,536750,2737380,62960,504120,367630,1853460
Diabetes,2001,M,60 to 64,607710,10060,86980,1850,5000,14060,23320,212020,41350,60090,440670,84480,1287550,436110,4065790,81520,703610,412040,2345590,66780,583630,302080,1718750
Diabetes,2001,M,65 to 69,517600,9610,90280,2820,6600,17050,29180,289330,45310,67930,517120,88220,1509130,373570,4100760,85340,815470,354600,2310220,72210,693160,276100,1788770
Diabetes,2001,M,70 to 74,450190,8400,87370,4130,9290,20180,35160,360030,49930,77260,655910,85550,1641600,327030,4247940,82970,886670,311720,2362100,72140,754770,253910,1884530
Diabetes,2001,M,75 to 79,334760,6100,67210,4860,11340,18880,32960,374200,48100,75850,720530,65690,1422110,245500,3766990,63930,780790,235290,2113630,56320,641220,197960,1652130
Diabetes,2001,M,80 to 84,203070,3430,39090,4400,11440,12820,22500,276160,36350,57580,629570,38100,872840,151440,2606220,37140,510300,145770,1543670,32510,362340,122810,1061910
Diabetes,2001,M,85+,142450,2100,22850,4360,16770,8910,15000,196680,33250,52200,658450,22030,527890,107210,1996490,21480,339130,103580,1305120,17990,188720,82450,690910
Diabetes,2002,F,1 to 4,612000,160,400,10,160,160,260,1300,25400,31850,111720,390,5390,544860,3617660,340,1930,485690,2403050,340,3460,291840,1212000
Diabetes,2002,F,5 to 9,874750,290,1510,0,100,330,430,2300,15140,18120,50440,1440,13500,689940,2970220,1230,5460,607260,1996030,1260,8050,325740,972070
Diabetes,2002,F,10 to 14,952210,390,2680,0,120,480,700,3220,13430,17030,70850,2560,24630,679550,2664710,2070,8750,609360,1806040,2280,15860,302620,856450
Diabetes,2002,F,15 to 19,933970,490,3940,10,230,750,1430,8060,33390,42810,186770,3800,45130,747860,4104080,3410,21240,709910,2993130,3190,23840,336560,1108420
Diabetes,2002,F,20 to 24,948460,840,5830,10,280,990,1580,9040,68290,85410,290550,5610,72930,791440,5528590,5350,42700,764050,3969310,4340,30100,402450,1555970
Diabetes,2002,F,25 to 29,944360,1480,8940,30,280,1670,2640,16040,107600,128890,414760,8560,130490,793920,6581760,8260,73110,760910,4339330,6670,57360,465680,2239290
Diabetes,2002,F,30 to 34,1032940,2330,14090,30,410,2480,3690,21990,119250,140210,474180,13550,210820,857220,7489510,13070,119610,818880,4722410,10450,91160,528820,2763260
Diabetes,2002,F,35 to 39,1178670,3660,22350,70,680,3090,4880,33810,83420,100410,414100,21540,328540,962040,7797790,20810,194530,918670,4978110,16490,133860,587580,2816460
Diabetes,2002,F,40 to 44,1264440,5080,32770,140,1130,3860,6240,50280,57080,72050,402870,31650,470480,1027580,8115390,30600,288460,979180,5203360,24280,181760,648450,2908640
Diabetes,2002,F,45 to 49,1165940,6520,44170,240,1690,5070,8190,66600,49230,63510,382970,42940,647270,953140,7935920,41760,392550,905820,4967060,33820,254400,639640,2966030
Diabetes,2002,F,50 to 54,1012920,8290,58690,470,2150,6940,11230,95500,45510,60210,396820,57270,890810,836020,7612440,55630,526260,792650,4588640,46420,364100,608710,3021310
Diabetes,2002,F,55 to 59,853070,9010,70880,730,2770,9060,14620,132630,42110,56650,388770,69330,1099060,697440,6753290,67420,639170,662890,3987430,56920,459490,525300,2764020
Diabetes,2002,F,60 to 64,655120,8190,72210,1100,3330,10450,17450,167640,38620,53090,384560,70690,1179390,525740,5479310,68670,672410,501290,3197690,58990,506500,404590,2279790
Diabetes,2002,F,65 to 69,558330,7960,78750,1680,4300,13270,22210,226120,40020,56910,455110,77190,1364750,437690,5068530,75060,770190,419040,2931450,65060,594020,344420,2135680
Diabetes,2002,F,70 to 74,523650,7840,85690,2700,6210,16870,28150,312050,46580,67580,603010,83840,1576850,403250,5214720,81500,894820,387610,3022900,71000,681790,320450,2189980
Diabetes,2002,F,75 to 79,459730,6860,80520,4000,9300,19390,32890,389350,52880,77490,783800,78610,1620640,352010,5151800,76530,944340,338700,3067370,66670,676050,282480,2083420
Diabetes,2002,F,80 to 84,346550,4780,58950,4750,12430,16570,27300,351220,51030,75910,894780,57170,1225430,267330,4326910,55700,772950,258010,2741010,47360,452340,211070,1585140
Diabetes,2002,F,85+,328010,3970,47090,7610,31410,15390,24410,341940,61830,90740,1281210,44910,1013320,254070,4527020,43670,715310,246000,3262110,33910,297860,181160,1264090
Diabetes,2002,M,1 to 4,641260,180,450,0,230,190,270,990,33840,43210,141170,440,5810,577650,4178640,390,2250,516600,2693490,400,3530,334320,1482260
Diabetes,2002,M,5 to 9,917830,290,1700,0,140,340,440,1600,19930,23850,68320,1630,14150,731860,3347880,1370,5840,639210,2118470,1370,8310,381840,1227330
Diabetes,2002,M,10 to 14,999760,450,2940,0,180,500,700,2880,16760,20490,79220,2830,25430,717610,2933810,2310,9290,634930,1863960,2490,16130,353880,1067900
Diabetes,2002,M,15 to 19,983910,500,4290,10,530,660,1110,6360,20840,26060,141630,4040,36040,670260,2798430,3470,15300,619630,1864140,3360,20740,300530,932740
Diabetes,2002,M,20 to 24,978030,550,5190,10,710,600,1000,7240,20480,26020,186750,4650,38940,607670,2658790,4210,21060,576870,1852820,3260,17860,252200,804230
Diabetes,2002,M,25 to 29,949550,980,6880,20,660,710,1090,11110,19060,24500,180670,6190,57670,582590,2798330,5760,33200,551950,1929140,4250,24440,259710,867760
Diabetes,2002,M,30 to 34,1027320,2030,12040,60,860,1180,1890,16710,22020,28520,190860,11070,115970,660110,3468480,10430,69360,624950,2376430,7590,46580,315890,1090110
Diabetes,2002,M,35 to 39,1184720,3790,22070,100,1180,2070,3420,31900,28590,37430,269850,20440,231410,781950,4492290,19440,138460,739920,3021060,14220,92820,399260,1469360
Diabetes,2002,M,40 to 44,1267820,6320,36660,220,1820,3520,5650,49910,35120,46830,333160,34370,403040,853370,5235780,32910,245160,807590,3456610,23830,157780,454730,1776900
Diabetes,2002,M,45 to 49,1160310,8830,55410,390,2510,5620,9290,81560,37680,51230,340760,52340,633050,790410,5207910,50240,377710,745930,3347560,37000,255080,443230,1858110
Diabetes,2002,M,50 to 54,1007530,11140,78080,760,3410,8880,14640,122830,40360,56480,397590,74410,943450,701010,5053640,71560,546690,661700,3129530,54030,396330,419790,1922600
Diabetes,2002,M,55 to 59,848830,12010,96460,1290,4260,12370,20580,182550,42680,60100,408830,92810,1270210,599030,4800330,89300,709560,565060,2866810,70120,560180,385790,1931660
Diabetes,2002,M,60 to 64,635790,10870,96120,1970,4990,14560,23920,218660,41080,59380,432570,93180,1395500,450380,4159650,89920,763940,425510,2399210,73040,631230,311370,1758750
Diabetes,2002,M,65 to 69,521150,9660,96380,2850,6460,17390,29340,281500,43050,63570,514420,94120,1582260,370920,4029870,91050,856090,351950,2268160,76920,725710,273950,1760160
Diabetes,2002,M,70 to 74,456990,8440,93730,4230,8970,20640,35280,361870,47930,72940,644880,91670,1740730,326930,4217280,88950,940990,311630,2341240,77250,799420,254000,1874290
Diabetes,2002,M,75 to 79,343280,6240,73320,5230,11000,19700,34190,380070,46340,71720,700210,71660,1530460,247160,3777340,69600,839310,236750,2120820,61450,691030,199780,1655330
Diabetes,2002,M,80 to 84,215230,3420,43870,4620,11610,13810,23680,294260,36910,57760,618010,42660,976090,158070,2744260,41550,571080,152070,1620330,36490,404870,128590,1122850
Diabetes,2002,M,85+,147320,2070,25080,4750,16690,9470,15900,210890,32650,50360,626470,24170,579540,108710,2048840,23540,375620,104910,1344900,19680,203880,83980,703390
Diabetes,2003,F,1 to 4,607090,170,380,0,150,170,260,1180,24460,30610,110470,380,5130,541120,3528040,340,1950,480790,2349860,340,3170,288380,1175330
Diabetes,2003,F,5 to 9,856780,280,1560,0,60,310,400,1460,13900,16860,46900,1490,13110,671180,2819370,1260,5370,587300,1897530,1300,7730,314510,919960
Diabetes,2003,F,10 to 14,957230,460,2940,0,100,540,800,3680,12780,16420,68580,2800,27330,672900,2560370,2250,9690,599650,1726380,2500,17630,297820,831940
Diabetes,2003,F,15 to 19,940020,490,4130,10,230,710,1270,6450,32930,42530,184190,3960,44810,746980,4042960,3520,21270,708610,2953960,3290,23460,331710,1086220
Diabetes,2003,F,20 to 24,963350,830,6180,20,300,1020,1770,9940,67460,84160,287240,5940,78430,800330,5527340,5710,46620,773160,3989360,4570,31780,400380,1534600
Diabetes,2003,F,25 to 29,955210,1460,9510,20,280,1740,2700,15440,109260,130520,411190,9090,136580,799960,6602430,8750,78390,767210,4354340,6990,58160,466160,2245230
Diabetes,2003,F,30 to 34,1024660,2390,15180,40,420,2550,3800,21580,120960,142010,470250,14570,225960,847330,7400990,14070,130400,809290,4641780,11150,95520,521150,2755770
Diabetes,2003,F,35 to 39,1143400,3510,23590,60,640,3140,4760,33010,83060,99490,390860,22700,336680,927030,7492940,21970,204300,884940,4786470,17020,132250,563210,2703230
